5;7;35;1.400;0.400;0.657;2.33;14;23;6;1
6;4;24;0.667;0.417;0.708;2.50;10;17;4;1
5;6;30;1.200;0.333;0.333;10.00;10;10;1;1
5;5;25;1.000;0.400;0.520;10.00;10;13;1;1
5;8;40;1.600;0.375;0.475;15.00;15;19;1;1
6;7;42;1.167;0.405;0.952;4.25;17;40;4;1
5;19;95;3.800;0.232;0.400;5.50;22;38;4;1
5;5;25;1.000;0.400;0.560;5.00;10;14;2;1
4;6;24;1.500;0.417;0.500;10.00;10;12;1;1
4;6;24;1.500;0.458;0.792;5.50;11;19;2;1
4;18;72;4.500;0.250;0.528;2.57;18;38;7;1
6;7;42;1.167;0.357;0.548;7.50;15;23;2;1
5;7;35;1.400;0.429;0.886;2.50;15;31;6;1
5;4;20;0.800;0.500;0.800;10.00;10;16;1;1
13;25;325;1.923;0.234;0.286;10.86;76;93;7;1
13;25;325;1.923;0.351;0.680;6.00;114;221;19;1
7;16;112;2.286;0.321;0.643;2.57;36;72;14;1
7;103;721;14.714;0.295;0.691;1.76;213;498;121;1
11;9;99;0.818;0.343;0.626;3.40;34;62;10;1
11;8;88;0.727;0.580;1.00;5.10;51;88;10;1
11;8;88;0.727;0.409;0.477;36.00;36;42;1;1
11;8;88;0.727;0.602;1.00;5.89;53;88;9;1
11;35;385;3.182;0.382;0.657;6.13;147;253;24;1
3;113;339;37.667;0.410;0.472;13.90;139;160;10;2
3;59;177;19.667;0.475;0.475;84.00;84;84;1;2
2;20;40;10.000;0.675;0.675;27.00;27;27;1;2
2;101;202;50.500;0.540;0.743;10.90;109;150;10;2
10;38;380;3.800;0.426;0.947;3.12;162;360;52;1
9;21;189;2.333;0.429;0.772;3.00;81;146;27;1
9;37;333;4.111;0.532;0.913;3.22;177;304;55;1
10;98;980;9.800;0.379;0.835;2.22;371;818;167;1
9;50;450;5.556;0.496;0.958;2.69;223;431;83;1
4;194;776;48.500;0.263;0.273;34.00;204;212;6;2
2;18;36;9.000;0.667;0.694;24.00;24;25;1;2
9;12;108;1.333;0.444;0.981;1.71;48;106;28;1
9;51;459;5.667;0.296;0.786;2.34;136;361;58;1
9;34;306;3.778;0.320;0.886;1.56;98;271;63;1
9;12;108;1.333;0.454;1.00;1.69;49;108;29;1
