0;<0_DM;6;Crit_Account;Television;1169;No_Acc;>=5_years;4;Male_Single;4;67;Own;2;Skilled;Yes_Phone;Good
1;0<=...<200_DM;48;Paid_Back_Now;Television;5951;100<=...<500_DM;1<=...<5_years;2;Female_Div;2;22;Own;1;Skilled;No_Phone;Bad
2;>=200_DM;12;Crit_Account;Education;2096;100<=...<500_DM;>=5_years;2;Male_Single;3;49;Own;1;UnSkil;No_Phone;Good
3;<0_DM;42;Paid_Back_Now;Furniture;7882;100<=...<500_DM;>=5_years;2;Male_Single;4;45;For_Free;1;Skilled;No_Phone;Good
4;<0_DM;24;Delay_In_Paying;Car_New;4870;100<=...<500_DM;1<=...<5_years;3;Male_Single;4;53;For_Free;2;Skilled;No_Phone;Bad
5;>=200_DM;36;Paid_Back_Now;Education;9055;No_Acc;1<=...<5_years;2;Male_Single;4;35;For_Free;1;UnSkil;Yes_Phone;Good
6;>=200_DM;24;Paid_Back_Now;Furniture;2835;>=500_DM;>=5_years;3;Male_Single;4;53;Own;1;Skilled;No_Phone;Good
7;0<=...<200_DM;36;Paid_Back_Now;Car_Used;6948;100<=...<500_DM;1<=...<5_years;2;Male_Single;2;35;Rent;1;Skilled;Yes_Phone;Good
8;>=200_DM;12;Paid_Back_Now;Television;3059;>=500_DM;>=5_years;2;Male_Div;4;61;Own;1;UnSkil;No_Phone;Good
9;0<=...<200_DM;30;Crit_Account;Car_New;5234;100<=...<500_DM;UnEmplloyed;4;Male_Div;2;28;Own;2;Skilled;No_Phone;Bad
10;0<=...<200_DM;12;Paid_Back_Now;Car_New;1295;100<=...<500_DM;<1_year;3;Female_Div;1;25;Rent;1;Skilled;No_Phone;Bad
11;<0_DM;48;Paid_Back_Now;Buisiness;4308;100<=...<500_DM;<1_year;3;Female_Div;4;24;Rent;1;Skilled;No_Phone;Bad
12;0<=...<200_DM;12;Paid_Back_Now;Television;1567;100<=...<500_DM;1<=...<5_years;1;Female_Div;1;22;Own;1;Skilled;Yes_Phone;Good
13;<0_DM;24;Crit_Account;Car_New;1199;100<=...<500_DM;>=5_years;4;Male_Single;4;60;Own;2;UnSkil;No_Phone;Bad
14;<0_DM;15;Paid_Back_Now;Car_New;1403;100<=...<500_DM;1<=...<5_years;2;Female_Div;4;28;Rent;1;Skilled;No_Phone;Good
15;<0_DM;24;Paid_Back_Now;Television;1282;100<=...<500_DM;1<=...<5_years;4;Female_Div;2;32;Own;1;UnSkil;No_Phone;Bad
16;>=200_DM;24;Crit_Account;Television;2424;No_Acc;>=5_years;4;Male_Single;4;53;Own;2;Skilled;No_Phone;Good
17;<0_DM;30;No_Credit;Buisiness;8072;No_Acc;<1_year;2;Male_Single;3;25;Own;3;Skilled;No_Phone;Good
